Client_ID,Company_Name,Industry,Region,Plan,Lead_Source,Account_Age_Months,Contract_Length_Months,Monthly_Usage_Score,Support_Tickets_Last30Days,Payment_Delay_Days,Monthly_Revenue_USD,Last_Renewal_Date,Churn_Probability,Risk_Category,Renewal_Status
CL00001,Pioneer Solutions,Healthcare,South,Standard,Inbound,14,12,57,12,4,3419.66,03-09-2025,0.408,High,Yes
CL00002,Apex Services,Construction,South,Standard,Partner,11,6,48.1,7,15,2701.27,19-05-2024,0.681,High,No
CL00003,Prime Labs,Education,West,Basic,Inbound,16,6,25.1,3,13,1329.68,07-02-2026,0.753,High,No
CL00004,Vertex Systems,Finance,South,Premium,Referral,3,24,66,4,14,4769.65,26-08-2025,0.113,Low,Yes
CL00005,Orion Solutions,IT Services,Central,Standard,Referral,38,12,47.4,8,36,2597.3,04-09-2024,0.556,High,No
CL00006,Pioneer Services,IT Services,North,Enterprise,Outbound,18,36,68.6,4,35,8159.64,05-12-2025,0.081,Low,Yes
CL00007,Quantum Solutions,IT Services,West,Basic,Outbound,41,12,37,6,19,1257.02,28-03-2024,0.468,High,Yes
CL00008,Crest Technologies,Telecom,West,Premium,Inbound,16,12,65.6,5,13,4675.09,05-03-2024,0.215,Medium,Yes
CL00009,Apex Industries,Finance,North,Premium,Inbound,24,24,66.4,6,5,3964.17,20-10-2024,0.113,Low,Yes
CL00010,Nova Labs,Logistics,South,Premium,Outbound,30,12,76,2,2,3113.71,11-05-2024,0.074,Low,No
CL00011,Vertex Logistics,IT Services,North,Enterprise,Referral,8,24,72,13,21,6801.93,17-10-2025,0.198,Medium,Yes
CL00012,Crest Industries,Construction,West,Premium,Referral,29,12,61.4,6,14,5208.6,03-12-2024,0.199,Medium,Yes
CL00013,Quantum Labs,Telecom,East,Enterprise,Marketplace,12,12,78.4,4,6,8408.21,24-05-2025,0.058,Low,Yes
CL00014,Orion Manufacturing,Manufacturing,East,Standard,Inbound,10,12,43.7,6,46,2790.04,19-10-2025,0.761,High,No
CL00015,Orion Logistics,Manufacturing,North,Standard,Event,27,12,51.9,9,8,2313.08,17-06-2024,0.21,Medium,Yes
CL00016,Green Labs,Manufacturing,North,Basic,Event,13,12,48,5,48,1671.97,06-02-2026,0.724,High,No
CL00017,Sky Healthcare,Healthcare,North,Basic,Inbound,43,6,39.2,5,25,934.69,16-06-2025,0.497,High,No
CL00018,Prime Industries,Finance,South,Standard,Partner,17,24,56.7,5,11,2561.72,14-04-2024,0.123,Low,Yes
CL00019,Omni Services,Retail,East,Basic,Referral,43,6,26.5,6,6,1017.04,27-03-2025,0.591,High,Yes
CL00020,Green Holdings,Manufacturing,West,Standard,Partner,34,6,74.6,3,14,2431.64,23-11-2025,0.11,Low,Yes
CL00021,Prime Systems,Finance,West,Basic,Outbound,6,6,31.2,3,3,1759.36,13-12-2025,0.532,High,Yes
CL00022,Vertex Holdings,IT Services,South,Basic,Event,22,6,21,7,25,1306.36,25-08-2025,0.739,High,No
CL00023,Nova Solutions,Manufacturing,Central,Enterprise,Referral,23,24,83.3,5,22,7093.04,05-02-2026,0.051,Low,Yes
CL00024,Green Solutions,Healthcare,West,Basic,Partner,29,6,35.6,4,4,1278.05,25-02-2025,0.693,High,No
CL00025,Blue Holdings,Retail,Central,Premium,Referral,13,24,58.4,10,14,3576.28,17-12-2024,0.284,Medium,Yes
CL00026,Crest Enterprises,Education,East,Basic,Event,6,6,26.5,8,13,1162.8,06-08-2024,0.825,High,No
CL00027,Apex Services,Manufacturing,South,Enterprise,Outbound,32,12,95.5,4,35,4491.09,25-01-2025,0.069,Low,Yes
CL00028,Sky Logistics,Finance,North,Enterprise,Inbound,11,12,80.3,7,6,8961,13-11-2025,0.056,Low,Yes
CL00029,Nova Technologies,Finance,West,Premium,Inbound,40,12,72.6,4,13,4898.97,06-04-2024,0.087,Low,Yes
CL00030,Nova Logistics,IT Services,North,Premium,Outbound,21,12,70,9,1,5622.4,08-08-2024,0.167,Low,Yes
CL00031,Prime Manufacturing,Finance,South,Basic,Inbound,40,12,42.2,7,5,1727.94,05-02-2026,0.47,High,No
CL00032,Crest Holdings,Manufacturing,East,Enterprise,Marketplace,22,12,89.8,5,16,7183.34,25-09-2025,0.042,Low,Yes
CL00033,Crest Labs,IT Services,East,Enterprise,Referral,12,36,75,5,22,7909.01,17-09-2024,0.066,Low,Yes
CL00034,Orion Solutions,Construction,East,Enterprise,Marketplace,25,24,51.5,12,8,4870.17,30-10-2025,0.279,Medium,Yes
CL00035,Apex Manufacturing,Construction,North,Premium,Inbound,18,12,69.4,3,3,3888.35,11-06-2024,0.044,Low,Yes
CL00036,Vertex Enterprises,Telecom,South,Standard,Event,36,24,61,3,19,4770.23,27-06-2025,0.066,Low,Yes
CL00037,Nova Labs,Healthcare,East,Enterprise,Inbound,49,36,75.3,4,8,8799.48,21-07-2024,0.009,Low,Yes
CL00038,Nova Technologies,IT Services,Central,Standard,Inbound,26,6,61.6,9,41,2254.35,20-03-2025,0.681,High,No
CL00039,Prime Networks,Logistics,West,Premium,Event,17,36,60.6,6,12,4038.23,02-06-2025,0.069,Low,Yes
CL00040,Pioneer Holdings,Retail,Central,Basic,Inbound,49,3,35.2,10,38,698.64,15-08-2025,0.828,High,No
CL00041,Omni Holdings,IT Services,West,Enterprise,Inbound,11,24,76.4,6,22,10947.64,19-12-2025,0.136,Low,Yes
CL00042,Blue Labs,Retail,East,Basic,Referral,18,12,27.9,3,8,1583.09,28-09-2025,0.493,High,No
CL00043,Pioneer Enterprises,IT Services,North,Standard,Referral,21,12,70.3,2,8,2503.76,01-10-2024,0.109,Low,No
CL00044,Orion Manufacturing,Energy,West,Premium,Inbound,24,12,44.1,7,3,3582.4,03-11-2025,0.202,Medium,Yes
CL00045,Pioneer Solutions,Manufacturing,East,Premium,Partner,30,12,91.3,1,2,3767.25,12-04-2024,0.032,Low,Yes
CL00046,Crest Manufacturing,Logistics,East,Premium,Inbound,51,36,75.5,5,16,3523.11,17-08-2025,0.025,Low,Yes
CL00047,Omni Logistics,Healthcare,East,Standard,Referral,13,12,30.7,5,24,2863.71,13-02-2025,0.673,High,No
CL00048,Orion Labs,Finance,East,Basic,Inbound,2,3,36.3,6,53,1508.19,12-01-2025,0.933,High,No
CL00049,Omni Networks,Finance,South,Premium,Outbound,27,24,64,2,22,4577.47,22-07-2025,0.094,Low,Yes
CL00050,Green Enterprises,Manufacturing,East,Enterprise,Inbound,13,48,77.7,14,7,7737.33,11-04-2024,0.031,Low,Yes
CL00051,Pioneer Services,Construction,North,Premium,Event,15,12,47.1,6,14,3212.84,25-11-2025,0.489,High,Yes
CL00052,Quantum Labs,Education,West,Standard,Partner,11,12,48.4,2,22,2377.18,03-09-2024,0.488,High,Yes
CL00053,Pioneer Holdings,Energy,North,Enterprise,Referral,43,36,69.5,6,8,8418.75,13-10-2025,0.026,Low,Yes
CL00054,Apex Labs,Energy,North,Standard,Event,14,12,40.1,4,5,1704.92,19-10-2024,0.327,Medium,Yes
CL00055,Apex Holdings,Finance,South,Standard,Inbound,27,12,43.5,4,3,3314.28,15-08-2025,0.37,High,No
CL00056,Green Enterprises,Energy,East,Standard,Partner,31,24,60,4,4,2269.85,29-12-2025,0.096,Low,Yes
